순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수(천주),외국인 보유주식수,외국인 지분율(%),총카운트
275,089600,나스미디어,"82,500","-2,900","-3.4","27,970","2,381,749,800","84,900","86,700","82,000","722,262,007,500","0.04","8,754,691",,,
276,080160,모두투어,"38,150","-600","-1.6","119,796","4,627,516,500","38,450","39,250","38,100","721,035,000,000","0.04","18,900,000",,,
277,053800,안랩,"72,000","-3,300","-4.4","257,390","19,049,206,700","73,500","76,400","71,700","720,997,560,000","0.04","10,013,855",,,
278,035900,JYP Ent.,"20,600","30","0.0","900,343","18,606,565,400","19,900","21,400","19,850","713,232,172,600","0.04","34,622,921",,,
279,048260,오스템임플란트,"49,900","-2,400","-4.6","88,446","4,518,927,300","51,300","52,200","49,900","712,857,278,300","0.04","14,285,717",,,
280,183490,엔지켐생명과학,"92,200","-11,800","-11.4","407,309","38,683,778,300","98,300","99,500","89,700","702,861,990,400","0.04","7,623,232",,,
281,004430,송원산업,"29,200","-1,800","-5.8","369,448","11,004,299,900","30,100","30,350","29,150","700,800,000,000","0.04","24,000,000",,,
282,002270,롯데푸드,"616,000","-10,000","-1.6","1,587","990,428,000","610,000","628,000","610,000","697,231,920,000","0.04","1,131,870",,,
283,065620,제낙스,"31,000","-1,650","-5.0","118,022","3,770,852,850","32,350","32,950","31,000","697,089,064,000","0.04","22,486,744",,,
284,003620,쌍용차,"5,010","-10","-0.2","288,877","1,441,896,120","4,910","5,050","4,910","691,126,473,960","0.04","137,949,396",,,
285,280360,롯데제과,"164,000","-4,000","-2.4","5,762","956,873,000","166,500","169,500","164,000","690,292,728,000","0.04","4,209,102",,,
286,108670,LG하우시스,"76,700","-1,900","-2.4","53,663","4,149,217,500","78,000","78,000","76,600","687,820,289,000","0.04","8,967,670",,,
287,042700,한미반도체,"10,800","-400","-3.6","341,931","3,753,053,400","11,200","11,250","10,650","686,686,680,000","0.04","63,582,100",,,
288,003540,대신증권,"13,450","-800","-5.6","362,630","4,931,013,650","13,750","13,850","13,350","682,902,230,000","0.04","50,773,400",,,
289,000990,DB하이텍,"15,250","-1,150","-7.0","683,507","10,693,455,650","15,950","16,150","15,250","676,609,438,000","0.04","44,367,832",,,
290,019680,대교,"7,980","-60","-0.8","97,572","775,787,830","7,980","8,040","7,900","675,928,743,000","0.04","84,702,850",,,
291,007460,에이프로젠KIC,"13,200","-150","-1.1","371,832","4,961,535,250","12,850","13,650","12,800","657,027,175,200","0.03","49,774,786",,,
292,032350,롯데관광개발,"14,450","-600","-4.0","160,732","2,372,058,900","14,700","15,200","14,450","655,958,082,350","0.03","45,395,023",,,
293,084110,휴온스글로벌,"66,100","-5,200","-7.3","122,030","8,378,187,200","69,700","70,600","66,100","655,163,700,500","0.03","9,911,705",,,
294,241590,화승엔터프라이즈,"21,550","-950","-4.2","46,885","1,022,123,200","22,200","22,300","21,550","652,282,619,250","0.03","30,268,335",,,
295,065660,안트로젠,"81,900","-5,300","-6.1","208,466","17,303,728,800","82,200","85,200","80,400","651,402,378,900","0.03","7,953,631",,,
296,005880,대한해운,"26,550","-1,250","-4.5","224,075","6,019,936,000","26,850","27,400","26,450","648,523,681,200","0.03","24,426,504",,,
297,039840,디오,"42,700","-1,350","-3.1","127,067","5,529,329,450","43,000","44,400","42,700","647,818,908,100","0.03","15,171,403",,,
298,029530,신도리코,"63,600","-2,500","-3.8","8,684","556,610,300","65,600","65,600","63,600","641,089,844,400","0.03","10,080,029",,,
299,041830,인바디,"46,400","150","0.3","315,814","15,025,462,750","45,100","49,300","45,050","634,927,484,800","0.03","13,683,782",,,
300,037560,CJ헬로,"8,160","-140","-1.7","162,757","1,336,642,390","8,190","8,300","8,140","631,966,418,400","0.03","77,446,865",,,
301,00680K,미래에셋대우2우B,"4,505","-150","-3.2","881,354","4,005,642,190","4,565","4,600","4,505","630,700,000,000","0.03","140,000,000",,,
302,007700,F&F,"40,450","-1,850","-4.4","41,870","1,711,390,600","41,700","42,050","40,000","622,930,000,000","0.03","15,400,000",,,
303,092040,아미코젠,"64,400","-3,100","-4.6","134,761","8,894,795,300","65,300","67,900","64,200","617,966,622,000","0.03","9,595,755",,,
304,031390,녹십자셀,"52,200","-6,000","-10.3","306,521","16,947,764,300","56,600","57,500","52,200","610,528,015,800","0.03","11,695,939",,,
305,031430,신세계인터내셔날,"85,000","-1,100","-1.3","17,882","1,513,857,300","85,400","86,100","82,200","606,900,000,000","0.03","7,140,000",,,
306,003230,삼양식품,"80,500","-4,500","-5.3","96,460","7,766,457,700","82,600","83,700","78,900","606,407,707,500","0.03","7,533,015",,,
307,058820,CMG제약,"5,540","-1,660","-23.1","21,607,976","130,205,928,380","6,000","6,420","5,390","603,235,331,760","0.03","108,887,244",,,
308,243070,휴온스,"97,100","-2,800","-2.8","64,194","6,313,259,100","98,100","100,100","97,100","601,050,068,100","0.03","6,190,011",,,
